'tain	tɛ̃
cancane	kɑ̃kan
cancanement	kɑ̃kanmɑ̃
cancanent	kɑ̃kan
cancaner	kɑ̃kane
cancanera	kɑ̃kanʁa
cancanerai	kɑ̃kanʁe
cancaneraient	kɑ̃kanʁɛ
cancanerais	kɑ̃kanʁɛ
cancanerait	kɑ̃kanʁɛ
cancaneras	kɑ̃kanʁɑ
cancanerez	kɑ̃kanʁe
cancaneriez	kɑ̃kanəʁje
cancanerions	kɑ̃kanəʁjɔ̃
cancanerons	kɑ̃kanʁɔ̃
cancaneront	kɑ̃kanʁɔ̃
cancanes	kɑ̃kan
cancanez	kɑ̃kane
cancaniez	kɑ̃kanje
cancanions	kɑ̃kanjɔ̃
cancanons	kɑ̃kanɔ̃
cancanâmes	kɑ̃kanɑm
cancanât	kɑ̃kanɑ
cancanâtes	kɑ̃kanɑt
cancanèrent	kɑ̃kanɛʁ
cancané	kɑ̃kane
cancer	kɑ̃se
cancer	kɑ̃sɛʁ
cancre	kɑ̃kʁ
cancrelat	kɑ̃kʁəla
cancérigène	kɑ̃seʁiʒɛn
cancún	kɑ̃kun
candela	kɑ̃dela
candeur	kɑ̃dœʁ
candeurs	kɑ̃dœʁ
candidat	kɑ̃dida
candidats	kɑ̃dida
candidature	kɑ̃didatyʁ
candide	kɑ̃did
candides	kɑ̃did
candilis	kɑ̃dilis
candélabre	kɑ̃delabʁ
cane	kan
canelé	kanle
canepetière	kanpətjɛʁ
caneton	kantɔ̃
canette	kanɛt
canevas	kanva
canevas	kanvɑ
caniche	kaniʃ
caniculaire	kanikylɛʁ
canicule	kanikyl
canidé	kanide
canif	kanif
canifs	kanif
canigou	kaniɡu
canin	kanɛ̃
canine	kanin
caniveau	kanivo
cannabis	kanabis
cannais	kanɛ
canne	kan
canneberge	kanbɛʁʒ
cannelier	kanəlje
cannelle	kanɛl
cannelure	kanlyʁ
cannelures	kanlyʁ
canner	kane
cannes	kan
cannibale	kanibal
cannoise	kanwaz
cannonière	kanɔnjɛʁ
canon	kanɔ̃
canonial	kanɔnjal
canoniale	kanɔnjal
canonialement	kanɔnjalmɑ̃
canoniales	kanɔnjal
canoniaux	kanɔnjo
canonicat	kanɔnika
canonique	kanɔnik
canoniquement	kanɔnikmɑ̃
canonisation	kanɔnizasjɔ̃
canonner	kanɔne
canonnier	kanɔnje
canonnière	kanɔnjɛʁ
canot	kano
canoter	kanɔte
canoé	kanɔe
canoë	kanɔe
cantabile	kɑ̃tabil
cantabile	kɑ̃tabile
cantal	kɑ̃tal
cantaloup	kɑ̃talu
cantate	kɑ̃tat
cantatrice	kɑ̃tatʁis
canterbury	kɑ̃tɛʁbœʁi
cantiller	kɑ̃tije
cantilène	kɑ̃tilɛn
cantine	kɑ̃tin
cantines	kɑ̃tin
cantinier	kɑ̃tinje
cantique	kɑ̃tik
cantiques	kɑ̃tik
canton	kɑ̃tɔ̃
cantonais	kɑ̃tɔnɛ
cantoniste	kɑ̃tɔnist
cantonner	kɑ̃tɔne
cantonnier	kɑ̃tɔnje
cantonniers	kɑ̃tɔnje
cantonnière	kɑ̃tɔnjɛʁ
cantonnières	kɑ̃tɔnjɛʁ
cantons	kɑ̃tɔ̃
cantorbéry	kɑ̃tɔʁbeʁi
canular	kanylaʁ
canule	kanyl
canyon	kaɲɔn
canyonisme	kaɲɔnism
canéphore	kanefɔʁ
caoua	kawa
caouanne	kawan
caouannes	kawan
caoutchouc	kautʃu
caoutchouter	kautʃute
caoutchouteux	kautʃutø
caoutchoutique	kautʃutik
caoutchène	kautʃɛn
cap	kap
capa	kapa
capabilité	kapabilite
capable	kapabl
capacitif	kapasitif
capacitive	kapasitiv
capacité	kapasite
capacités	kapasite
caparaçonner	kapaʁasɔne
cape	kap
caper	kape
capernaüm	kapɛʁnaɔm
capharnaüm	kafaʁnaɔm
capillaire	kapilɛʁ
capilotade	kapilɔtad
capita	kapita
capitaine	kapitɛn
capitais	kapitɛ
capital	kapital
capitale	kapital
capitales	kapital
capitalisable	kapitalizabl
capitalisables	kapitalizabl
capitaliser	kapitalize
capitanat	kapitana
capitaux	kapito
capitoline	kapitɔlin
capitonna	kapitɔna
capitonnai	kapitɔne
capitonnaient	kapitɔnɛ
capitonnais	kapitɔnɛ
capitonnait	kapitɔnɛ
capitonnant	kapitɔnɑ̃
capitonnas	kapitɔnɑ
capitonnasse	kapitɔnas
capitonnassent	kapitɔnas
capitonnasses	kapitɔnas
capitonnassiez	kapitɔnasje
capitonnassions	kapitɔnasjɔ̃
capitonne	kapitɔn
capitonnent	kapitɔn
capitonnera	kapitɔnʁa
capitonnerai	kapitɔnʁe
capitonneraient	kapitɔnʁɛ
capitonnerais	kapitɔnʁɛ
capitonnerait	kapitɔnʁɛ
capitonneras	kapitɔnʁɑ
capitonnerez	kapitɔnʁe
capitonneriez	kapitɔnəʁje
capitonnerions	kapitɔnəʁjɔ̃
capitonnerons	kapitɔnʁɔ̃
capitonneront	kapitɔnʁɔ̃
capitonnes	kapitɔn
capitonnez	kapitɔne
capitonniez	kapitɔnje
capitonnions	kapitɔnjɔ̃
capitonnons	kapitɔnɔ̃
capitonnâmes	kapitɔnɑm
capitonnât	kapitɔnɑ
capitonnâtes	kapitɔnɑt
capitonnèrent	kapitɔnɛʁ
capitonné	kapitɔne
capitoul	kapitul
capitoulat	kapitula
capitule	kapityl
capoeira	kapwɛʁa
capon	kapɔ̃
caponner	kapɔne
caporal	kapɔʁal
caposer	kapoze
capot	kapo
capota	kapɔta
capote	kapɔt
capoter	kapɔte
capoue	kapu
cappadoce	kapadɔs
cappadocien	kapadɔsjɛ̃
caprice	kapʁis
capricorne	kapʁikɔʁn
caprifoliacée	kapʁifɔljase
capsaïsine	kapsaizin
capse	kaps
capside	kapsid
capsulée	kapsyle
capta	kapta
captai	kapte
captant	kaptɑ̃
captasse	kaptas
captassent	kaptas
captasses	kaptas
captateur	kaptatœʁ
capte	kapt
captent	kapt
capter	kapte
captes	kapt
capteur	kaptœʁ
captieux	kapsjø
captif	kaptif
captions	kaptjɔ̃
captivant	kaptivɑ̃
captivante	kaptivɑ̃t
captivantes	kaptivɑ̃t
captivants	kaptivɑ̃
captiver	kaptive
capture	kaptyʁ
capturer	kaptyʁe
capuce	kapys
capuche	kapyʃ
capucin	kapysɛ̃
capucine	kapysin
caq	kak
caq	seaky
caque	kak
caquelon	kaklɔ̃
caquenlit	kakɑ̃li
caqueta	kakta
caqueter	kakəte
caquiste	kakist
car	kaʁ
cara	kaʁa
carabine	kaʁabin
carabiné	kaʁabine
carabistouille	kaʁabistuj
caracal	kaʁakal
caraco	kaʁako
caracole	kaʁakɔl
caracos	kaʁako
caractère	kaʁaktɛʁ
caractéristique	kaʁakteʁistik
caradoc	kaʁadɔk
carafe	kaʁaf
carambola	kaʁɑ̃bɔla
carambolage	kaʁɑ̃bɔlaʒ
carambolai	kaʁɑ̃bɔle
carambolaient	kaʁɑ̃bɔlɛ
carambolais	kaʁɑ̃bɔlɛ
carambolait	kaʁɑ̃bɔlɛ
carambolant	kaʁɑ̃bɔlɑ̃
carambolas	kaʁɑ̃bɔlɑ
carambolasse	kaʁɑ̃bɔlas
carambolassent	kaʁɑ̃bɔlas
carambolasses	kaʁɑ̃bɔlas
carambolassiez	kaʁɑ̃bɔlasje
carambolassions	kaʁɑ̃bɔlasjɔ̃
carambole	kaʁɑ̃bɔl
carambolent	kaʁɑ̃bɔl
carambolera	kaʁɑ̃bɔlʁa
carambolerai	kaʁɑ̃bɔlʁe
caramboleraient	kaʁɑ̃bɔlʁɛ
carambolerais	kaʁɑ̃bɔlʁɛ
carambolerait	kaʁɑ̃bɔlʁɛ
caramboleras	kaʁɑ̃bɔlʁɑ
carambolerez	kaʁɑ̃bɔlʁe
caramboleriez	kaʁɑ̃bɔləʁje
carambolerions	kaʁɑ̃bɔləʁjɔ̃
carambolerons	kaʁɑ̃bɔlʁɔ̃
caramboleront	kaʁɑ̃bɔlʁɔ̃
carambolez	kaʁɑ̃bɔle
caramboliez	kaʁɑ̃bɔlje
carambolions	kaʁɑ̃bɔljɔ̃
carambolons	kaʁɑ̃bɔlɔ̃
carambolâmes	kaʁɑ̃bɔlɑm
carambolât	kaʁɑ̃bɔlɑ
carambolâtes	kaʁɑ̃bɔlɑt
carambolèrent	kaʁɑ̃bɔlɛʁ
carambolé	kaʁɑ̃bɔle
caramel	kaʁamɛl
caraméliser	kaʁamelize
caras	kaʁɑ
caravage	kaʁavaʒ
caravagesque	kaʁavaʒɛsk
caravane	kaʁavan
caravanier	kaʁavanje
caravaniers	kaʁavanje
caravaning	kaʁavaniŋ
caravanière	kaʁavanjɛʁ
caravanières	kaʁavanjɛʁ
caravansérail	kaʁavɑ̃seʁaj
caraïbe	kaʁaib
caraïbes	kaʁaib
carbazotique	kaʁbazɔtik
carbolique	kaʁbɔlik
carbomère	kaʁbɔmɛʁ
carbonate	kaʁbɔnat
carbone	kaʁbɔn
carboner	kaʁbɔne
carboneuse	kaʁbɔnøz
carboneutre	kaʁbɔnøtʁ
carbonifère	kaʁbɔnifɛʁ
carboniser	kaʁbɔnize
carbonitrurer	kaʁbɔnitʁyʁe
carbonyle	kaʁbɔnil
carbonyler	kaʁbɔnile
carboxyle	kaʁbɔksil
carboxyler	kaʁbɔksile
carburant	kaʁbyʁɑ̃
carcajou	kaʁkaʒu
carcan	kaʁkɑ̃
carcasse	kaʁkas
carcinome	kaʁsinɔm
cardage	kaʁdaʒ
cardamome	kaʁdamɔm
carde	kaʁd
cardiacée	kaʁdjase
cardigan	kaʁdiɡɑ̃
cardinal	kaʁdinal
cardiovasculaire	kaʁdjɔvaskylɛʁ
carduacée	kaʁdɥase
cardère	kaʁdɛʁ
care	kaʁ
careiche	kaʁɛʃ
carence	kaʁɑ̃s
carencer	kaʁɑ̃se
caresse	kaʁɛs
caresser	kaʁɛse
caret	kaʁɛ
carets	kaʁɛ
cargaison	kaʁɡɛzɔ̃
cargo	kaʁɡo
cargèse	kaʁʒɛz
cari	kaʁi
caribou	kaʁibu
caricaturale	kaʁikatyʁal
caricaturalement	kaʁikatyʁalmɑ̃
caricature	kaʁikatyʁ
caricaturer	kaʁikatyʁe
caricatures	kaʁikatyʁ
carie	kaʁi
carillon	kaʁijɔ̃
carillonner	kaʁijɔne
carine	kaʁin
cariste	kaʁist
caritatif	kaʁitatif
carla	kaʁla
carlin	kaʁlɛ̃
carlingue	kaʁlɛ̃ɡ
carmagnole	kaʁmaɲɔl
carmen	kaʁmɛn
carmin	kaʁmɛ̃
carminatif	kaʁminatif
carminatifs	kaʁminatif
carminative	kaʁminativ
carminatives	kaʁminativ
carminé	kaʁmine
carnage	kaʁnaʒ
carnassier	kaʁnasje
carnation	kaʁnasjɔ̃
carnaval	kaʁnaval
carnavalière	kaʁnavaljɛʁ
carnavals	kaʁnaval
carne	kaʁn
carnet	kaʁnɛ
carnivore	kaʁnivɔʁ
caro	kaʁo
carole	kaʁɔl
caroline	kaʁɔlin
caromb	kaʁɔ̃
caron	kaʁɔ̃
carotide	kaʁɔtid
carotidienne	kaʁɔtidjɛn
carotte	kaʁɔt
carottier	kaʁɔtje
carottiers	kaʁɔtje
carotté	kaʁɔte
caroube	kaʁub
carouge	kaʁuʒ
carpates	kaʁpat
carpe	kaʁp
carpeau	kaʁpo
carpette	kaʁpɛt
carpophage	kaʁpɔfaʒ
carqueiranne	kaʁkeʁan
carqueiranne	kaʁkɛʁan
carqueiranne	kaʁkɛʁanə
carquois	kaʁkwa
carra	kaʁa
carrai	kaʁe
carraient	kaʁɛ
carrais	kaʁɛ
carrait	kaʁɛ
carrant	kaʁɑ̃
carras	kaʁɑ
carrasse	kaʁas
carrassent	kaʁas
carrasses	kaʁas
carrassiez	kaʁasje
carrassions	kaʁasjɔ̃
carre	kaʁ
carreau	kaʁo
carreauté	kaʁote
carreautée	kaʁote
carrefour	kaʁfuʁ
carrelage	kaʁlaʒ
carreler	kaʁle
carrelet	kaʁlɛ
carrent	kaʁ
carrer	kaʁe
carrera	kaʁəʁa
carrerai	kaʁəʁe
carreraient	kaʁəʁɛ
carrerais	kaʁəʁɛ
carrerait	kaʁəʁɛ
carreras	kaʁəʁɑ
carrerez	kaʁəʁe
carreriez	kaʁəʁje
carrerions	kaʁəʁjɔ̃
carrerons	kaʁəʁɔ̃
carreront	kaʁəʁɔ̃
carres	kaʁ
carrez	kaʁe
carrier	kaʁje
carriez	kaʁje
carriole	kaʁjɔl
carrions	kaʁjɔ̃
carrière	kaʁjɛʁ
carrières	kaʁjɛʁ
carrons	kaʁɔ̃
carrosse	kaʁɔs
carrossier	kaʁɔsje
carrossiers	kaʁɔsje
carrossière	kaʁɔsjɛʁ
carrossières	kaʁɔsjɛʁ
carrousel	kaʁuzɛl
carroyer	kaʁwaje
carrure	kaʁyʁ
carrâmes	kaʁɑm
carrât	kaʁɑ
carrâtes	kaʁɑt
carrèrent	kaʁɛʁ
carré	kaʁe
carré	kɑʁe
carrément	kaʁemɑ̃
carta	kaʁta
cartable	kaʁtabl
cartai	kaʁte
carte	kaʁt
cartel	kaʁtɛl
carterie	kaʁtəʁi
cartes	kaʁt
carthage	kaʁtaʒ
cartier	kaʁtje
cartilage	kaʁtilaʒ
cartilagineuse	kaʁtilaʒinøz
cartilagineuses	kaʁtilaʒinøz
cartilagineux	kaʁtilaʒinø
cartographie	kaʁtɔɡʁafi
cartographier	kaʁtɔɡʁafje
carton	kaʁtɔ̃
cartonner	kaʁtɔne
cartouchière	kaʁtuʃjɛʁ
cartulaire	kaʁtylɛʁ
cartésien	kaʁtezjɛ̃
carvi	kaʁvi
caryotype	kaʁjɔtip
carât	kaʁɑ
carène	kaʁɛn
caré	kaʁe
carélie	kaʁeli
carénage	kaʁenaʒ
caréner	kaʁene
carême	kaʁɛm
carêmien	kaʁɛmjɛ̃
cas	kɑ
casa	kaza
casablancaise	kazablɑ̃kɛz
casai	kaze
casais	kazɛ
casanier	kazanje
casaque	kazak
casaquin	kazakɛ̃
casas	kaza
casasse	kazas
casasses	kazas
casbah	kasba
cascade	kaskad
case	kɑz
casemate	kazmat
caser	kɑze
caserne	kazɛʁn
caserner	kazɛʁne
cases	kaz
cash	kaʃ
casher	kaʃɛʁ
casier	kazje
casier	kɑzje
casiers	kazje
casino	kazino
casoar	kazɔaʁ
casque	kask
casquer	kaske
casques	kask
casquette	kaskɛt
cassa	kasa
cassation	kasasjɔ̃
casse	kɑs
cassent	kas
casser	kɑse
casserole	kasʁɔl
casseroles	kasʁɔl
casses	kas
cassette	kasɛt
cassette	kɑsɛt
cassettes	kasɛt
casseur	kasœʁ
casseurs	kasœʁ
cassez	kase
cassican	kasikɑ̃
cassie	kasi
cassiopée	kasjɔpe
cassis	kasi
cassis	kasis
cassonade	kasɔnad
cassons	kasɔ̃
cassos	kasos
cassos	kasɔs
cassos	kɑsos
cassos	kɑsɔs
cassoulet	kasulɛ
cassé	kɑse
castagne	kastaɲ
castagnette	kastaɲɛt
castagnole	kastaɲɔl
castellet	kastɛlɛ
castelroussin	kastɛlʁusɛ̃
castelroussine	kastɛlʁusin
castes	kast
castex	kastɛks
castillan	kastijɑ̃
castille	kastij
castiller	kastije
casting	kastiŋ
castor	kastɔʁ
castors	kastɔʁ
castra	kastʁa
castrat	kastʁa
castration	kastʁasjɔ̃
castrer	kastʁe
castriste	kastʁist
castristes	kastʁist
casuel	kazɥɛl
casuelle	kazɥɛl
casuelles	kazɥɛl
casuels	kazɥɛl
casuistique	kazɥistik
casé	kaze
cata	kata
catabase	katabaz
catabolisme	katabɔlizm
catacombe	katakɔ̃b
catacombes	katakɔ̃b
catafalque	katafalk
cataire	katɛʁ
catalan	katalɑ̃
catalane	katalan
catalanes	katalan
catalanisme	katalanism
catalanophone	katalanofɔn
catalanophone	katalanɔfɔn
catalans	katalɑ̃
catalogne	katalɔɲ
catalogue	katalɔɡ
cataloguer	katalɔɡe
catalogues	katalɔɡ
catalyser	katalize
catalyseur	katalizœʁ
catamaran	katamaʁɑ̃
catamarans	katamaʁɑ̃
catane	katan
catapulte	katapylt
cataracte	kataʁakt
catarhinienne	kataʁinjɛn
catarrhinienne	kataʁinjɛn
catas	kata
catastropha	katastʁɔfa
catastrophas	katastʁɔfɑ
catastrophe	katastʁɔf
catastropher	katastʁɔfe
catastrophique	katastʁɔfik
catastrophiquement	katastʁɔfikmɑ̃
catastrophisme	katastʁɔfizm
catastrophât	katastʁɔfɑ
catch	katʃ
catcher	katʃe
catcheur	katʃœʁ
cathare	kataʁ
cathares	kataʁ
cathartique	kataʁtik
catherine	katʁin
catherinette	katʁinɛt
catherinien	katʁinjɛ̃
catho	kato
catholique	katɔlik
catholiques	katɔlik
cathos	kato
cathèdre	katɛdʁ
cathète	katɛt
cathédrale	katedʁal
cathédrales	katedʁal
cathéter	katetɛʁ
cathéters	katetɛʁ
catin	katɛ̃
cation	katjɔ̃
cations	katjɔ̃
catoblépas	katɔblepɑ
caton	katɔ̃
catze	kats
catène	katɛn
catéchiser	kateʃize
catéchisme	kateʃizm
catéchumène	katekymɛn
catégorie	kateɡɔʁi
catégoriel	kateɡɔʁjɛl
catégorisation	kateɡɔʁizasjɔ̃
catégorisations	kateɡɔʁizasjɔ̃
catégoriser	kateɡɔʁize
caténaire	katenɛʁ
caténoïde	katenɔid
caténoïdes	katenɔid
cau	ko
caucase	kɔkaz
caucasien	kokazjɛ̃
cauchemar	koʃmaʁ
cauchemar	kɔʃmaʁ
cauchemardesque	koʃmaʁdɛsk
cauchemars	koʃmaʁ
cauchois	koʃwa
caudal	kodal
caudale	kodal
caudales	kodal
caudaux	kodo
caudillo	kawdijo
caudillo	kodijo
caudé	kode
caudée	kode
cauri	koʁi
causa	koza
causai	kozɛ
causais	kozɛ
causal	kozal
causale	kozal
causales	kozal
causas	koza
causasse	kozas
causasses	kozas
causatif	kozatif
causative	kozativ
cause	koz
causer	koze
causerie	kozʁi
causes	koz
causette	kozɛt
causeuse	kozøz
caustique	kostik
causât	koza
causé	koze
caution	kosjɔ̃
cautionner	kosjɔne
cautériser	koteʁize
cautériser	kɔteʁize
cauvin	kovɛ̃
cavala	kavala
cavalai	kavale
cavalaient	kavalɛ
cavalais	kavalɛ
cavalait	kavalɛ
cavalant	kavalɑ̃
cavalas	kavalɑ
cavalasse	kavalas
cavalassent	kavalas
cavalasses	kavalas
cavalassiez	kavalasje
cavalassions	kavalasjɔ̃
cavalcader	kavalkade
cavalcades	kavalkad
cavale	kaval
cavalent	kaval
cavaler	kavale
cavalera	kavalʁa
cavalerai	kavalʁe
cavaleraient	kavalʁɛ
cavalerais	kavalʁɛ
cavalerait	kavalʁɛ
cavaleras	kavalʁɑ
cavalerez	kavalʁe
cavalerie	kavalʁi
cavaleriez	kavaləʁje
cavalerions	kavaləʁjɔ̃
cavalerons	kavalʁɔ̃
cavaleront	kavalʁɔ̃
cavales	kaval
cavalez	kavale
cavalier	kavalje
cavaliez	kavalje
cavalions	kavaljɔ̃
cavalière	kavaljɛʁ
cavalons	kavalɔ̃
cavalâmes	kavalɑm
cavalât	kavalɑ
cavalâtes	kavalɑt
cavalèrent	kavalɛʁ
cavalé	kavale
cave	kav
caveau	kavo
caverne	kavɛʁn
caverneux	kavɛʁnø
caveçon	kavsɔ̃
caviar	kavjaʁ
caye	kaj
cayenne	kajɛn
cayor	kajɔʁ
cazotte	kazɔt
caïd	kaid
caïman	kaimɑ̃
caïn	kaɛ̃
caïque	kaik
cb	sebe
cbrn	sebeɛʁɛn
cd	sede
cdd	sedede
cdi	sedei
cdlt	kɔʁdjalmɑ̃
ce	sø
ce	sə
ceci	səsi
cedex	sedɛks
ceindre	sɛ̃dʁ
ceins	sɛ̃
ceint	sɛ̃
ceinture	sɛ̃tyʁ
ceinturer	sɛ̃tyʁe
ceinturon	sɛ̃tyʁɔ̃
cela	səla
celer	səle
cell	sɛl
celle	sɛl
celles	sɛl
celleux	sɛlø
cellier	selje
cellier	sɛlje
cellophane	sɛlɔfan
cellulaire	sɛlylɛʁ
cellulairement	sɛlylɛʁmɑ̃
cellulaires	sɛlylɛʁ
cellule	selyl
cellule	sɛlyl
cellules	sɛlyl
celluleuse	sɛlyløz
cellulite	sɛlylit
cellulose	sɛlyloz
celte	sɛlt
celtique	sɛltik
celtitude	sɛltityd
celui	səlɥi
cendre	sɑ̃dʁ
cendrier	sɑ̃dʁije
cendrillon	sɑ̃dʁijɔ̃
cendré	sɑ̃dʁe
cendrée	sɑ̃dʁe
cenne	sɛn
cens	sɑ̃s
censeur	sɑ̃sœʁ
censeuse	sɑ̃søz
censière	sɑ̃sjɛʁ
censuelle	sɑ̃sɥɛl
censura	sɑ̃syʁa
censurai	sɑ̃syʁe
censurais	sɑ̃syʁɛ
censuras	sɑ̃syʁa
censurasse	sɑ̃syʁas
censurasses	sɑ̃syʁas
censure	sɑ̃syʁ
censurer	sɑ̃syʁe
censures	sɑ̃syʁ
censurez	sɑ̃syʁe
censé	sɑ̃se
censément	sɑ̃semɑ̃
cent	sɑ̃
cent	sɑ̃t‿
cent	sɛn
cent	sɛnt
centaine	sɑ̃tɛn
centaure	sɑ̃tɔʁ
centauresse	sɑ̃toʁɛs
centaurée	sɑ̃toʁe
centiampère	sɑ̃tjɑ̃pɛʁ
centicandela	sɑ̃tikɑ̃dela
centigramme	sɑ̃tiɡʁam
centikatal	sɑ̃tikatal
centilitre	sɑ̃tilitʁ
centime	sɑ̃tim
centimes	sɑ̃tim
centimètre	sɑ̃timɛtʁ
centipède	sɑ̃tipɛd
centiseconde	sɑ̃tisəɡɔ̃d
centistéradian	sɑ̃tisteʁadjɑ̃
centième	sɑ̃tjɛm
centrafricain	sɑ̃tʁafʁikɛ̃
centrage	sɑ̃tʁaʒ
central	sɑ̃tʁal
centrale	sɑ̃tʁal
centralisateur	sɑ̃tʁalizatœʁ
centralisation	sɑ̃tʁalizasjɔ̃
centraliser	sɑ̃tʁalize
centre	sɑ̃tʁ
centrer	sɑ̃tʁe
centres	sɑ̃tʁ
centrifuge	sɑ̃tʁifyʒ
centripète	sɑ̃tʁipɛt
centriques	sɑ̃tʁik
centrisme	sɑ̃tʁism
centriste	sɑ̃tʁist
centristes	sɑ̃tʁist
centromère	sɑ̃tʁɔmɛʁ
centré	sɑ̃tʁe
centuple	sɑ̃typl
centupler	sɑ̃typle
centurie	sɑ̃tyʁi
centésimale	sɑ̃tezimal
cep	sɛp
cependant	səpɑ̃dɑ̃
cepstre	kɛpstʁ
cerbère	sɛʁbɛʁ
cerce	sɛʁs
cerceau	sɛʁso
cercle	sɛʁkl
cercler	sɛʁkle
cercueil	sɛʁkœj
cerf	sɛʁ
cerf	sɛʁf
cerfeuil	sɛʁfœj
cerise	səʁiz
ceriseraie	səʁizʁɛ
cerisier	səʁizje
cern	sɛʁn
cerne	sɛʁn
cerner	sɛʁne
cerque	sɛʁk
cerques	sɛʁk
certain	sɛʁtɛn‿
certain	sɛʁtɛ̃
certaine	sɛʁtɛn
certainement	sɛʁtɛnmɑ̃
certes	sɛʁt
certif	sɛʁtif
certificat	sɛʁtifika
certification	sɛʁtifikasjɔ̃
certifier	sɛʁtifje
certitude	sɛʁtityd
certitudes	sɛʁtityd
cerveau	sɛʁvo
cerveaux	sɛʁvo
cervelas	sɛʁvəlɑ
cervelet	sɛʁvəlɛ
cervelets	sɛʁvəlɛ
cervelle	sɛʁvɛl
cervin	sɛʁvɛ̃
cervoise	sɛʁvwaz
ces	se
ces	sez‿
ces	seøɛs
cespiteux	sɛspitø
cessation	sɛsasjɔ̃
cesse	sɛs
cesser	sese
cesser	sɛse
cession	sɛsjɔ̃
cessionnaire	sɛsjɔnɛʁ
ceste	sɛst
ceste	sɛt
cet	sɛt‿
cette	sɛt
ceux	sø
ceylan	sɛlɑ̃
cgt	seʒete
ch	seaʃ
ch'timmi	ʃ‿timi
chabbat	ʃaba
chabert	ʃabɛʁ
chablaisienne	ʃablɛzjɛn
chabrette	ʃabʁɛt
chacal	ʃakal
chacals	ʃakal
chacha	ʃaʃa
chaconne	ʃakɔn
chacun	ʃakœ̃
chacune	ʃakyn
chadda	ʃada
chadègue	ʃadɛɡ
chafouin	ʃafwɛ̃
chafouine	ʃafwin
chagrin	ʃaɡʁɛ̃
chagriner	ʃaɡʁine
chahada	ʃaada
chahut	ʃay
chahuta	ʃayta
chahutai	ʃayte
chahutaient	ʃaytɛ
chahutais	ʃaytɛ
chahutait	ʃaytɛ
chahutant	ʃaytɑ̃
chahutas	ʃaytɑ
chahutasse	ʃaytas
chahutassent	ʃaytas
chahutasses	ʃaytas
chahutassiez	ʃaytasje
chahutassions	ʃaytasjɔ̃
chahute	ʃayt
chahutent	ʃayt
chahuter	ʃayte
chahutera	ʃaytʁa
chahuterai	ʃaytʁe
chahuteraient	ʃaytʁɛ
chahuterais	ʃaytʁɛ
chahuterait	ʃaytʁɛ
chahuteras	ʃaytʁɑ
chahuterez	ʃaytʁe
chahuteriez	ʃaytəʁje
chahuterions	ʃaytəʁjɔ̃
chahuterons	ʃaytʁɔ̃
chahuteront	ʃaytʁɔ̃
chahutes	ʃayt
chahutez	ʃayte
chahutiez	ʃaytje
chahutions	ʃaytjɔ̃
chahutons	ʃaytɔ̃
chahutâmes	ʃaytɑm
chahutât	ʃaytɑ
chahutâtes	ʃaytɑt
chahutèrent	ʃaytɛʁ
chahuté	ʃayte
chai	tʃaj
chai	ʃɛ
chaine	ʃɛn
chair	ʃɛʁ
chaire	ʃɛʁ
chaires	ʃɛʁ
chairs	ʃɛʁ
chais	ʃe
chaise	ʃɛz
chaix	ʃɛ
chaland	ʃalɑ̃
chalande	ʃalɑ̃d
chalandise	ʃalɑ̃diz
chalazion	kalazjɔ̃
chalcolithique	kalkɔlitik
chalcédoine	kalsedwan
chalcédonien	kalsedɔnjɛ̃
chaldaïque	kaldaik
chaldéen	kaldeɛ̃
chalef	ʃalɛf
chaleur	ʃalœʁ
chaleureusement	ʃalœʁøzmɑ̃
chaleureux	ʃalœʁø
challenge	ʃalɑ̃ʒ
chaloir	ʃalwaʁ
chaloupe	ʃalup
chalouper	ʃalupe
chalumeau	ʃalymo
chaluter	ʃalyte
chalutier	ʃalytje
chamade	ʃamad
chamaillis	ʃamɑji
chamallow	ʃamalo
chaman	ʃaman
chaman	ʃamɑ̃
chamane	ʃaman
chamanisme	ʃamanism
chambarder	ʃɑ̃baʁde
chambellan	ʃɑ̃bɛlɑ̃
chambord	ʃɑ̃bɔʁ
chambouler	ʃɑ̃bule
chambra	ʃɑ̃bʁa
chambrai	ʃɑ̃bʁe
chambraient	ʃɑ̃bʁɛ
chambrais	ʃɑ̃bʁɛ
chambrait	ʃɑ̃bʁɛ
chambranle	ʃɑ̃bʁɑ̃l
chambrant	ʃɑ̃bʁɑ̃
chambras	ʃɑ̃bʁɑ
chambrasse	ʃɑ̃bʁas
chambrassent	ʃɑ̃bʁas
chambrasses	ʃɑ̃bʁas
chambrassiez	ʃɑ̃bʁasje
chambrassions	ʃɑ̃bʁasjɔ̃
chambre	ʃɑ̃bʁ
chambrent	ʃɑ̃bʁ
chambrer	ʃɑ̃bʁe
chambrera	ʃɑ̃bʁəʁa
chambrerai	ʃɑ̃bʁəʁe
chambreraient	ʃɑ̃bʁəʁɛ
chambrerais	ʃɑ̃bʁəʁɛ
chambrerait	ʃɑ̃bʁəʁɛ
chambreras	ʃɑ̃bʁəʁɑ
chambrerez	ʃɑ̃bʁəʁe
chambreriez	ʃɑ̃bʁəʁje
chambrerions	ʃɑ̃bʁəʁjɔ̃
chambrerons	ʃɑ̃bʁəʁɔ̃
chambreront	ʃɑ̃bʁəʁɔ̃
chambrette	ʃɑ̃bʁɛt
chambrez	ʃɑ̃bʁe
chambrier	ʃɑ̃bʁije
chambriers	ʃɑ̃bʁije
